date,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,share_price,unemployment_rate,PPI,OECD_CLI_index,CSI_index,Year,Quarter_Number,Month_Number,gdp_per_capita,seasonally_adjusted_INDPRO,seasonally_adjusted_CPI,seasonally_adjusted_unemployment_rate,anomaly_INDPRO,anomaly_CPI,anomaly_unemployment_rate,anomaly_PPI,anomaly_share_price,anomaly_1_year_rate,anomaly_3_months_rate,anomaly_6_months_rate,anomaly_10_year_rate,CPI_trend,INDPRO_trend,unemployment_rate_trend,PPI_trend,seasonally_adjusted_PPI
1972-04-01,0.0,0.02,0.12,0.0,4.6455,3.7055,4.2255,41.5,41.1654,6.19,1.9885765756168796,5.7,35.2,102.482937301095,92.8,1972,2,4,27478.0,40.96338420562904,41.535397716312445,5.709750417196715,0,0,0,0,0,0,0,0,0,41.52554339127446,40.79627717975191,5.706696912140397,34.984316064570805,35.163997830615735
1972-05-01,0.02,0.06,0.0,0.0,4.455454545454545,3.687727272727273,4.12,41.6,41.1693,6.13,1.971758808694358,5.7,35.2,102.639726639738,88.6,1972,2,5,27540.666666666668,41.118100787345284,41.586074131918444,5.738979327928933,0,0,0,0,0,0,0,0,0,41.63658639559093,41.11685118429079,5.657788136006413,35.110193236250296,34.955276288834916
1972-06-01,0.06,0.12,0.0,0.0,4.713181818181818,3.913636363636363,4.350909090909091,41.7,41.2778,6.11,1.9727903212675169,5.7,35.2,102.778310652277,88.6,1972,2,6,27603.333333333332,41.37080673453652,41.68146209097971,5.724981740597049,0,0,0,0,0,0,0,0,0,41.75148256206616,41.44108740824034,5.603784093938625,35.197282544452705,35.027170226692235
1972-07-01,0.12,0.0,0.0,0.0,4.9045000000000005,3.983,4.497999999999999,41.8,41.2389,6.11,1.959174005348577,5.6,35.3,102.935349344407,88.6,1972,3,7,27666.0,41.45700547665588,41.80373249493258,5.627710878871495,0,0,0,0,0,0,0,0,0,41.874950765756346,41.764914136553806,5.545870547279537,35.284444141741375,35.30280027718574
1972-08-01,0.0,0.0,0.0,0.0,4.903043478260869,4.018260869565218,4.546956521739131,41.9,41.805,6.21,1.9969249040312929,5.6,35.3,103.134727971658,95.2,1972,3,8,27795.666666666668,41.94842240121656,41.880755260824344,5.464589804089631,0,0,0,0,0,0,0,0,0,42.01200370982476,42.08368712112215,5.485473934227369,35.38027713464334,35.59362489063504
1972-09-01,0.0,0.0,0.0,0.24,5.4375,4.6605,5.1265,42.1,42.1288,6.55,1.9764456326613649,5.5,35.3,103.355074841978,95.2,1972,3,9,27925.333333333332,42.5747539524807,42.138134380274565,5.412957326533982,0,0,0,0,0,0,0,0,0,42.16729307004452,42.3939803824118,5.4238903949159445,35.4850138819178,35.47256339618784
1972-10-01,0.0,0.0,0.0,0.24,5.39,4.739,5.1335,42.2,42.6703,6.48,1.9752433156838032,5.6,35.3,103.561298825015,95.2,1972,4,10,28055.0,42.813563529567695,42.24486277250134,5.474023675346408,0,0,0,0,0,0,0,0,0,42.349302840025366,42.694201588294355,5.361992781402505,35.59759458797492,35.375108928118294
1972-11-01,0.0,0.0,0.0,0.08,5.2,4.7795000000000005,5.088,42.4,43.1755,6.28,2.035040101800931,5.3,35.3,103.725784277483,90.7,1972,4,11,28265.666666666668,43.11555581205902,42.482378872377964,5.179494549175629,0,0,0,0,0,0,0,0,0,42.57910275507273,42.98467687982069,5.300293902471714,35.71716624210877,35.47343178621911
1972-12-01,0.0,0.0,0.24,0.08,5.2765,5.07,5.2975,42.5,43.6617,6.36,2.0596354864184088,5.2,35.3,103.812665320249,90.7,1972,4,12,28476.333333333332,43.49849497216589,42.54413876013019,5.2386625718040225,0,0,0,0,0,0,0,0,0,42.84275645870644,43.269413439759276,5.239166662193115,35.84331901953587,35.68480107048101
1973-01-01,0.0,0.0,0.24,0.1,5.580454545454545,5.407727272727272,5.623181818181818,42.7,43.9783,6.46,2.06206111815817,4.9,36.3,103.797800175032,81.9,1973,1,1,28687.0,43.8010708755345,42.696681776021954,5.012442619442436,0,0,0,0,0,0,0,0,0,43.10970325054986,43.54988838331447,5.178972431269203,35.97666393286036,35.845712774900505
